name	strain_name	ST	Revised_Source_Niche	Revised_Source_Type	Intestinal_or_Extraintestinal	Collection_Year	Collection	State	Biosample number	Assembly accession	SRA Accession	Bio Project ID	IncF_RST	cgMLST cluster (40 allelic distance)	PopPunk Cluster (Clusters merged by PopPunk are separated by underscores)																																																				
AusGEM_00017	AVC150	117	Livestock	Avian	Extraintestinal	2010	AusGEM	VIC	SAMN41516001	NA	SRR29230049	PRJNA1112076	F40/C4:A-:B1	Unclustered (Singleton)	21																																																				
AusGEM_00018	AVC153	93	Livestock	Avian	Extraintestinal	2010	AusGEM	VIC	SAMN09580001	NA	SRR7469880	PRJNA479542	F24:A-:B40	Unclustered (Singleton)	45																																																				
AusGEM_00019	AVC154	117	Livestock	Avian	Extraintestinal	2010	AusGEM	VIC	SAMN09580002	NA	SRR7469879	PRJNA479542	C4:A-:B1	956	21																																																				
AusGEM_00020	AVC155	117	Livestock	Avian	Extraintestinal	2010	AusGEM	VIC	SAMN09580003	NA	SRR7469878	PRJNA479542	C4:A-:B1	662	21																																																				
AusGEM_00021	AVC156	362	Livestock	Avian	Extraintestinal	2010	AusGEM	NA	SAMN09580004	NA	SRR7469877	PRJNA479542	C4:A-:B1	207	93																																																				
AusGEM_00022	AVC159	117	Livestock	Avian	Extraintestinal	2010	AusGEM	QLD	SAMN09580005	NA	SRR7469872	PRJNA479542	C4:A-:B1	Unclustered (Singleton)	21																																																				
AusGEM_00024	AVC160	117	Livestock	Avian	Extraintestinal	2010	AusGEM	QLD	SAMN09580006	NA	SRR7469871	PRJNA479542	F24:A-:B1	Unclustered (Singleton)	21																																																				
AusGEM_00025	AVC161	1673	Livestock	Avian	Extraintestinal	2010	AusGEM	QLD	SAMN09580007	NA	SRR7469895	PRJNA479542	C4:A-:B1	536	1448																																																				
AusGEM_00026	AVC162	1673	Livestock	Avian	Extraintestinal	2010	AusGEM	QLD	SAMN09580008	NA	SRR7469896	PRJNA479542	C4:A-:B1	536	1448																																																				
AusGEM_00027	AVC167	350	Livestock	Avian	Extraintestinal	2010	AusGEM	VIC	SAMN09580009	NA	SRR7469897	PRJNA479542	C4:A-:B1	269	233																																																				
AusGEM_00029	AVC171	95	Livestock	Avian	Extraintestinal	2010	AusGEM	VIC	SAMN09580010	NA	SRR7469898	PRJNA479542	F2:A-:B1	Unclustered (Singleton)	9_1394																																																				
AusGEM_00030	AVC173	95	Livestock	Avian	Extraintestinal	2010	AusGEM	VIC	SAMN09580011	NA	SRR7469891	PRJNA479542	F2:A-:B1	329	9_1394																																																				
AusGEM_00031	AVC176	69	Livestock	Avian	Extraintestinal	2010	AusGEM	VIC	SAMN09580012	NA	SRR7469892	PRJNA479542	F4:A-:B10	229	10																																																				
AusGEM_00032	AVC177	68	Livestock	Avian	Extraintestinal	2010	AusGEM	VIC	SAMN09580013	NA	SRR7469893	PRJNA479542	F64:A-:B27	443	157																																																				
AusGEM_00033	AVC179	362	Livestock	Avian	Extraintestinal	2010	AusGEM	VIC	SAMN09580014	NA	SRR7469894	PRJNA479542	C4:A-:B1	207	93																																																				
AusGEM_00035	AVC183	131	Livestock	Avian	Extraintestinal	2010	AusGEM	NA	SAMN09580015	NA	SRR7469899	PRJNA479542	F24:A-:B40	Unclustered (Singleton)	4																																																				
AusGEM_00036	AVC184	117	Livestock	Avian	Extraintestinal	2011	AusGEM	VIC	SAMN09580016	NA	SRR7469900	PRJNA479542	C4:A-:B1	662	21																																																				
AusGEM_00037	AVC185	350	Livestock	Avian	Extraintestinal	2011	AusGEM	VIC	SAMN41516002	NA	SRR29230082	PRJNA1112076	C4:A-:B1	Unclustered (Singleton)	233																																																				
AusGEM_00038	AVC186	350	Livestock	Avian	Extraintestinal	2011	AusGEM	VIC	SAMN09580017	NA	SRR7469902	PRJNA479542	C4:A-:B1	269	233																																																				
AusGEM_00040	AVC191	117	Livestock	Avian	Extraintestinal	2011	AusGEM	NA	SAMN09580018	NA	SRR7469901	PRJNA479542	C4:A-:B1	662	21																																																				
AusGEM_00041	AVC192	350	Livestock	Avian	Extraintestinal	2011	AusGEM	NA	SAMN41516003	NA	SRR29230083	PRJNA1112076	C4:A-:B1	Unclustered (Singleton)	233																																																				
AusGEM_00043	AVC195	57	Livestock	Avian	Extraintestinal	2011	AusGEM	NA	SAMN09580019	NA	SRR7469904	PRJNA479542	F2:A-:B1	398	375_399																																																				
AusGEM_00044	AVC196	973	Livestock	Avian	Extraintestinal	2011	AusGEM	VIC	SAMN09580020	NA	SRR7469903	PRJNA479542	F24:A-:B8	Unclustered (Singleton)	123																																																				
AusGEM_00045	AVC197	350	Livestock	Avian	Extraintestinal	2011	AusGEM	VIC	SAMN09580021	NA	SRR7469906	PRJNA479542	C4:A-:B1	269	233																																																				
AusGEM_00046	AVC198	350	Livestock	Avian	Extraintestinal	2011	AusGEM	QLD	SAMN09580022	NA	SRR7469905	PRJNA479542	C4:A-:B1	269	233																																																				
AusGEM_00048	AVC19	429	Livestock	Avian	Extraintestinal	2008	AusGEM	NSW	SAMN09579964	NA	SRR7469884	PRJNA479542	C4:A-:B20	866	68																																																				
AusGEM_00049	AVC200	350	Livestock	Avian	Extraintestinal	2011	AusGEM	QLD	SAMN09580023	NA	SRR7469908	PRJNA479542	C4:A-:B1	269	233																																																				
AusGEM_00050	AVC201	23	Livestock	Avian	Extraintestinal	2011	AusGEM	WA	SAMN09580024	NA	SRR7469907	PRJNA479542	F4:A-:B1	447	12																																																				
AusGEM_00052	AVC204	350	Livestock	Avian	Extraintestinal	2011	AusGEM	NA	SAMN09580025	NA	SRR7469910	PRJNA479542	C4:A-:B1	269	233																																																				
AusGEM_00053	AVC207	3589	Livestock	Avian	Extraintestinal	2011	AusGEM	NA	SAMN09580026	NA	SRR7469909	PRJNA479542	F24:A-:B73	Unclustered (Singleton)	619																																																				
AusGEM_00054	AVC209	57	Livestock	Avian	Extraintestinal	2011	AusGEM	NSW	SAMN09580027	NA	SRR7469913	PRJNA479542	C4:A-:B1	171	120																																																				
AusGEM_00055	AVC20	429	Livestock	Avian	Extraintestinal	2008	AusGEM	NSW	SAMN09579965	NA	SRR7469889	PRJNA479542	C4:A-:B20	866	68																																																				
AusGEM_00056	AVC210	57	Livestock	Avian	Extraintestinal	2011	AusGEM	NSW	SAMN09580028	NA	SRR7469914	PRJNA479542	C4:A-:B1	171	120																																																				
AusGEM_00057	AVC211	665	Livestock	Avian	Extraintestinal	2011	AusGEM	VIC	SAMN09580029	NA	SRR7469911	PRJNA479542	C4:A-:B1	202	302_781_1077																																																				
AusGEM_00058	AVC213	155	Livestock	Avian	Extraintestinal	2011	AusGEM	VIC	SAMN09580030	NA	SRR7469912	PRJNA479542	F40/C4:A-:B1	Unclustered (Singleton)	11																																																				
AusGEM_00060	AVC215	117	Livestock	Avian	Extraintestinal	2012	AusGEM	VIC	SAMN09580031	NA	SRR7469917	PRJNA479542	C4:A-:B1	956	21																																																				
AusGEM_00061	AVC216	973	Livestock	Avian	Extraintestinal	2012	AusGEM	VIC	SAMN09580032	NA	SRR7469918	PRJNA479542	F24:A-:B8	Unclustered (Singleton)	123																																																				
AusGEM_00062	AVC218	141	Livestock	Avian	Extraintestinal	2012	AusGEM	VIC	SAMN09580033	NA	SRR7469915	PRJNA479542	F24:A-:B40	Unclustered (Singleton)	36																																																				
AusGEM_00063	AVC219	57	Livestock	Avian	Extraintestinal	2012	AusGEM	VIC	SAMN09580034	NA	SRR7469916	PRJNA479542	C4:A-:B1	171	120																																																				
AusGEM_00064	AVC21	429	Livestock	Avian	Extraintestinal	2008	AusGEM	NSW	SAMN09579966	NA	SRR7469890	PRJNA479542	C4:A-:B20	866	68																																																				
AusGEM_00065	AVC220	117	Livestock	Avian	Extraintestinal	2012	AusGEM	VIC	SAMN09580035	NA	SRR7469919	PRJNA479542	C4:A-:B1	956	21																																																				
AusGEM_00066	AVC221	973	Livestock	Avian	Extraintestinal	2012	AusGEM	VIC	SAMN09580036	NA	SRR7469920	PRJNA479542	F24:A-:B8	234	123																																																				
AusGEM_00067	AVC222	117	Livestock	Avian	Extraintestinal	2012	AusGEM	VIC	SAMN09580037	NA	SRR7469833	PRJNA479542	C4:A-:B1	662	21																																																				
AusGEM_00068	AVC223	117	Livestock	Avian	Extraintestinal	2012	AusGEM	VIC	SAMN09580038	NA	SRR7469832	PRJNA479542	F24:A-:B1	97	21																																																				
AusGEM_00069	AVC224	350	Livestock	Avian	Extraintestinal	2012	AusGEM	VIC	SAMN09580039	NA	SRR7469831	PRJNA479542	C4:A-:B1	Unclustered (Singleton)	233																																																				
AusGEM_00071	AVC226	665	Livestock	Avian	Extraintestinal	2012	AusGEM	NA	SAMN09580040	NA	SRR7469830	PRJNA479542	C4:A-:B8	Unclustered (Singleton)	302_781_1077																																																				
AusGEM_00072	AVC227	95	Livestock	Avian	Extraintestinal	2012	AusGEM	NA	SAMN09580041	NA	SRR7469829	PRJNA479542	C4:A-:B1	173	9_1394																																																				
AusGEM_00073	AVC228	4045	Livestock	Avian	Extraintestinal	2013	AusGEM	NA	SAMN09580042	NA	SRR7469828	PRJNA479542	C4:A-:B40	543	21																																																				
AusGEM_00074	AVC229	117	Livestock	Avian	Extraintestinal	2013	AusGEM	VIC	SAMN41516004	NA	SRR29230084	PRJNA1112076	C4:A-:B1	662	21																																																				
AusGEM_00076	AVC232	57	Livestock	Avian	Extraintestinal	2013	AusGEM	NA	SAMN09580043	NA	SRR7469827	PRJNA479542	F2:A-:B1	398	375_399																																																				
AusGEM_00077	AVC233	57	Livestock	Avian	Extraintestinal	2013	AusGEM	NA	SAMN09580044	NA	SRR7469826	PRJNA479542	F2:A-:B1	398	375_399																																																				
AusGEM_00078	AVC234	57	Livestock	Avian	Extraintestinal	2013	AusGEM	NA	SAMN09580045	NA	SRR7469825	PRJNA479542	C4:A-:B1	68	120																																																				
AusGEM_00079	AVC235	95	Livestock	Avian	Extraintestinal	2014	AusGEM	NSW	SAMN09580046	NA	SRR7469824	PRJNA479542	C4:A-:B1	214	9_1394																																																				
AusGEM_00080	AVC237	10	Livestock	Avian	Extraintestinal	2014	AusGEM	NSW	SAMN09580047	NA	SRR7469844	PRJNA479542	F24:A-:B1	Unclustered (Singleton)	585																																																				
AusGEM_00083	AVC242	95	Livestock	Avian	Extraintestinal	2014	AusGEM	VIC	SAMN09580048	NA	SRR7469845	PRJNA479542	F24:A-:B1*	304	9_1394																																																				
AusGEM_00084	AVC246	57	Livestock	Avian	Extraintestinal	2014	AusGEM	NA	SAMN09580049	NA	SRR7469846	PRJNA479542	F2:A-:B1	398	375_399																																																				
AusGEM_00085	AVC249	117	Livestock	Avian	Extraintestinal	2014	AusGEM	VIC	SAMN09580050	NA	SRR7469847	PRJNA479542	C5?*:A-:B1	258	21																																																				
AusGEM_00086	AVC24	117	Livestock	Avian	Extraintestinal	2008	AusGEM	NSW	SAMN41516005	NA	SRR29230085	PRJNA1112076	F2:A-:B1	Unclustered (Singleton)	21																																																				
AusGEM_00087	AVC251	141	Livestock	Avian	Extraintestinal	2015	AusGEM	NSW	SAMN09580051	NA	SRR7469848	PRJNA479542	C4:A-:B1	Unclustered (Singleton)	36																																																				
AusGEM_00088	AVC252	88	Livestock	Avian	Extraintestinal	2015	AusGEM	VIC	SAMN09580052	NA	SRR7469849	PRJNA479542	C4:A-:B1	Unclustered (Singleton)	12																																																				
AusGEM_00089	AVC256	95	Livestock	Avian	Extraintestinal	2015	AusGEM	VIC	SAMN09580053	NA	SRR7469850	PRJNA479542	F24:A-:B1*	304	9_1394																																																				
AusGEM_00090	AVC25	429	Livestock	Avian	Extraintestinal	2008	AusGEM	NSW	SAMN09579967	NA	SRR7469834	PRJNA479542	C4:A-:B20	866	68																																																				
AusGEM_00091	AVC26	429	Livestock	Avian	Extraintestinal	2008	AusGEM	NSW	SAMN09579968	NA	SRR7469835	PRJNA479542	C4:A-:B20	866	68																																																				
AusGEM_00093	AVC28	350	Livestock	Avian	Extraintestinal	2008	AusGEM	QLD	SAMN41516006	NA	SRR29230086	PRJNA1112076	C4:A-:B1	Unclustered (Singleton)	233																																																				
AusGEM_00094	AVC29	117	Livestock	Avian	Extraintestinal	2008	AusGEM	VIC	SAMN09579969	NA	SRR7469836	PRJNA479542	F40!/F2!:A-:B1	956	21																																																				
AusGEM_00095	AVC2	117	Livestock	Avian	Extraintestinal	2007	AusGEM	NSW	SAMN41516007	NA	SRR29230087	PRJNA1112076	C4:A-:B1	Unclustered (Singleton)	21																																																				
AusGEM_00096	AVC30	117	Livestock	Avian	Extraintestinal	2008	AusGEM	VIC	SAMN09579970	NA	SRR7469837	PRJNA479542	F40!/F2!:A-:B1	956	21																																																				
AusGEM_00097	AVC34	2473	Livestock	Avian	Extraintestinal	2008	AusGEM	NSW	SAMN09579971	NA	SRR7469838	PRJNA479542	F40/C4:A-:B1	532	191																																																				
AusGEM_00098	AVC35	2473	Livestock	Avian	Extraintestinal	2008	AusGEM	NSW	SAMN09579972	NA	SRR7469839	PRJNA479542	F40/C4:A-:B1	532	191																																																				
AusGEM_00099	AVC38	95	Livestock	Avian	Extraintestinal	2008	AusGEM	NSW	SAMN09579973	NA	SRR7469840	PRJNA479542	F24:A-:B1	477	9_1394																																																				
AusGEM_00100	AVC39	973	Livestock	Avian	Extraintestinal	2008	AusGEM	NSW	SAMN09579974	NA	SRR7469841	PRJNA479542	F24:A-:B8	234	123																																																				
AusGEM_00101	AVC4	117	Livestock	Avian	Extraintestinal	2007	AusGEM	NSW	SAMN09579957	NA	SRR7469885	PRJNA479542	C4:A-:B1	Unclustered (Singleton)	21																																																				
AusGEM_00102	AVC51	38	Livestock	Avian	Extraintestinal	2008	AusGEM	NSW	SAMN09579975	NA	SRR7469842	PRJNA479542	F24:A-:B40	Unclustered (Singleton)	20_785																																																				
AusGEM_00104	AVC58	117	Livestock	Avian	Extraintestinal	2008	AusGEM	NA	SAMN09579976	NA	SRR7469843	PRJNA479542	C4:A-:B1	956	21																																																				
AusGEM_00105	AVC59	117	Livestock	Avian	Extraintestinal	2008	AusGEM	NA	SAMN09579977	NA	SRR7469858	PRJNA479542	F40/C4:A-:B1	956	21																																																				
AusGEM_00106	AVC5	117	Livestock	Avian	Extraintestinal	2007	AusGEM	WA	SAMN09579958	NA	SRR7469886	PRJNA479542	C4:A-:B1	662	21																																																				
AusGEM_00107	AVC60	117	Livestock	Avian	Extraintestinal	2008	AusGEM	NA	SAMN09579978	NA	SRR7469857	PRJNA479542	C4:A-:B1	662	21																																																				
AusGEM_00108	AVC61	429	Livestock	Avian	Extraintestinal	2008	AusGEM	NA	SAMN09579979	NA	SRR7469860	PRJNA479542	C4:A-:B20	866	68																																																				
AusGEM_00109	AVC64	57	Livestock	Avian	Extraintestinal	2008	AusGEM	NSW	SAMN09579980	NA	SRR7469859	PRJNA479542	F2:A-:B1	398	375_399																																																				
AusGEM_00110	AVC65	973	Livestock	Avian	Extraintestinal	2008	AusGEM	NSW	SAMN09579981	NA	SRR7469854	PRJNA479542	F24:A-:B8	234	123																																																				
AusGEM_00113	AVC77	117	Livestock	Avian	Extraintestinal	2008	AusGEM	WA	SAMN09579982	NA	SRR7469853	PRJNA479542	C4:A-:B1	662	21																																																				
AusGEM_00114	AVC79	117	Livestock	Avian	Extraintestinal	2008	AusGEM	VIC	SAMN09579983	NA	SRR7469856	PRJNA479542	F2:A-:B1	Unclustered (Singleton)	21																																																				
AusGEM_00115	AVC7	3998	Livestock	Avian	Extraintestinal	2007	AusGEM	VIC	SAMN09579959	NA	SRR7469887	PRJNA479542	F24:A-:B1	Unclustered (Singleton)	434																																																				
AusGEM_00116	AVC80	117	Livestock	Avian	Extraintestinal	2008	AusGEM	VIC	SAMN09579984	NA	SRR7469855	PRJNA479542	C4:A-:B1	956	21																																																				
AusGEM_00117	AVC8	429	Livestock	Avian	Extraintestinal	2007	AusGEM	NSW	SAMN09579960	NA	SRR7469888	PRJNA479542	C4:A-:B20	866	68																																																				
AusGEM_00118	AVC91	973	Livestock	Avian	Extraintestinal	2009	AusGEM	QLD	SAMN09579985	NA	SRR7469852	PRJNA479542	F24:A-:B8	234	123																																																				
AusGEM_00119	AVC94	1125	Livestock	Avian	Extraintestinal	2009	AusGEM	QLD	SAMN09579986	NA	SRR7469851	PRJNA479542	C4:A-:B1	Unclustered (Singleton)	51																																																				
AusGEM_00120	AVC96	117	Livestock	Avian	Extraintestinal	2009	AusGEM	WA	SAMN09579987	NA	SRR8671292	PRJNA479542	F24:A-:B1	Unclustered (Singleton)	21																																																				
AusGEM_00121	AVC97	79	Livestock	Avian	Extraintestinal	2009	AusGEM	WA	SAMN09579988	NA	SRR7469870	PRJNA479542	F24:A-:B1	485	9_1394																																																				
AusGEM_00122	AVC98	1640	Livestock	Avian	Extraintestinal	2009	AusGEM	VIC	SAMN09579989	NA	SRR7469867	PRJNA479542	C4:A-:B1	Unclustered (Singleton)	1411																																																				
AusGEM_00124	FH100	95	Livestock	Avian	Extraintestinal	2015	AusGEM	VIC	SAMN34993231	NA	SRR24462448	PRJNA970052	C4:A-:B1	214	9_1394																																																				
AusGEM_00125	FH101	95	Livestock	Avian	Extraintestinal	2015	AusGEM	VIC	SAMN34993232	NA	SRR24462421	PRJNA970052	C4:A-:B1	214	9_1394																																																				
AusGEM_00126	FH102	95	Livestock	Avian	Extraintestinal	2015	AusGEM	VIC	SAMN34993233	NA	SRR24462405	PRJNA970052	C4:A-:B1	214	9_1394																																																				
AusGEM_00127	FH103	95	Livestock	Avian	Extraintestinal	2015	AusGEM	VIC	SAMN34993234	NA	SRR24462394	PRJNA970052	C4:A-:B1	214	9_1394																																																				
AusGEM_00128	FH104	95	Livestock	Avian	Extraintestinal	2015	AusGEM	VIC	SAMN34993235	NA	SRR24462355	PRJNA970052	C4:A-:B1	214	9_1394																																																				
AusGEM_00129	FH105	95	Livestock	Avian	Extraintestinal	2015	AusGEM	VIC	SAMN34993236	NA	SRR24462344	PRJNA970052	C4:A-:B1	214	9_1394																																																				
AusGEM_00130	FH106	117	Livestock	Avian	Extraintestinal	2015	AusGEM	VIC	SAMN34993237	NA	SRR24462305	PRJNA970052	C4:A-:B8	Unclustered (Singleton)	21																																																				
AusGEM_00131	FH107	95	Livestock	Avian	Extraintestinal	2015	AusGEM	VIC	SAMN34993238	NA	SRR24462294	PRJNA970052	C4:A-:B1	214	9_1394																																																				
AusGEM_00132	FH108	95	Livestock	Avian	Extraintestinal	2015	AusGEM	VIC	SAMN34993239	NA	SRR24462283	PRJNA970052	C4:A-:B1	214	9_1394																																																				
AusGEM_00133	FH109	95	Livestock	Avian	Extraintestinal	2015	AusGEM	VIC	SAMN34993240	NA	SRR24462447	PRJNA970052	C4:A-:B1	214	9_1394																																																				
AusGEM_00135	FH110	355	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993242	NA	SRR24462425	PRJNA970052	C4:A-:B1	155	104																																																				
AusGEM_00136	FH111	355	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993243	NA	SRR24462386	PRJNA970052	C4:A-:B1	155	104																																																				
AusGEM_00137	FH112	355	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993244	NA	SRR24462375	PRJNA970052	C4:A-:B1	155	104																																																				
AusGEM_00138	FH113	355	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993245	NA	SRR24462336	PRJNA970052	C4:A-:B1	155	104																																																				
AusGEM_00139	FH114	117	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993246	NA	SRR24462325	PRJNA970052	F24:A-:B1	286	21																																																				
AusGEM_00140	FH115	117	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993247	NA	SRR24462314	PRJNA970052	F24:A-:B1	286	21																																																				
AusGEM_00141	FH116	117	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993248	NA	SRR24462275	PRJNA970052	F24:A-:B1	286	21																																																				
AusGEM_00142	FH117	117	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993249	NA	SRR24462264	PRJNA970052	F24:A-:B1	286	21																																																				
AusGEM_00144	FH119	155	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993251	NA	SRR24462414	PRJNA970052	C4:A-:B1	95	11																																																				
AusGEM_00145	FH11	1818	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993241	NA	SRR24462436	PRJNA970052	F95!/F104!:A-:B-	1229	319																																																				
AusGEM_00146	FH120	69	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993253	NA	SRR24462412	PRJNA970052	F4:A-:B1	322	10																																																				
AusGEM_00147	FH121	69	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993254	NA	SRR24462411	PRJNA970052	F4:A-:B1	322	10																																																				
AusGEM_00148	FH122	93	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993255	NA	SRR24462410	PRJNA970052	F-:A1:B1	925	45																																																				
AusGEM_00150	FH124	93	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993256	NA	SRR24462409	PRJNA970052	F-:A1:B1	925	45																																																				
AusGEM_00151	FH125	10	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993257	NA	SRR24462408	PRJNA970052	F24:A-:B23	313	5_1020_1036_1160																																																				
AusGEM_00152	FH126	95	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993258	NA	SRR24462407	PRJNA970052	F24:A-:B1	357	9_1394																																																				
AusGEM_00153	FH127	95	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993259	NA	SRR24462406	PRJNA970052	F76/C4:A-:B1	214	9_1394																																																				
AusGEM_00154	FH128	95	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993260	NA	SRR24462404	PRJNA970052	F24:A-:B1	357	9_1394																																																				
AusGEM_00156	FH12	212	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993252	NA	SRR24462413	PRJNA970052	F-:A-:B-	Unclustered (Singleton)	125																																																				
AusGEM_00157	FH130	803	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993262	NA	SRR24462402	PRJNA970052	F2/C4:A-:B1	298	396																																																				
AusGEM_00158	FH131	101	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993263	NA	SRR24462401	PRJNA970052	C4:A6?:B1	Unclustered (Singleton)	27																																																				
AusGEM_00159	FH132	95	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993264	NA	SRR24462400	PRJNA970052	F24:A-:B1	357	9_1394																																																				
AusGEM_00160	FH133	355	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993265	NA	SRR24462399	PRJNA970052	C4:A-:B1	155	104																																																				
AusGEM_00161	FH134	355	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993266	NA	SRR24462398	PRJNA970052	C4:A-:B1	155	104																																																				
AusGEM_00162	FH135	93	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993267	NA	SRR24462397	PRJNA970052	F-:A1:B1	925	45																																																				
AusGEM_00163	FH136	95	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993268	NA	SRR24462396	PRJNA970052	F76/C4:A-:B1	214	9_1394																																																				
AusGEM_00164	FH137	95	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993269	NA	SRR24462395	PRJNA970052	F76/C4:A-:B1	214	9_1394																																																				
AusGEM_00165	FH138	95	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993270	NA	SRR24462365	PRJNA970052	F76/C4:A-:B1	214	9_1394																																																				
AusGEM_00166	FH139	69	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993271	NA	SRR24462364	PRJNA970052	F4:A-:B1	322	10																																																				
AusGEM_00167	FH13	1818	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993261	NA	SRR24462403	PRJNA970052	F95!/F104!:A-:B-	1229	319																																																				
AusGEM_00168	FH140	69	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993273	NA	SRR24462362	PRJNA970052	F4:A-:B1	322	10																																																				
AusGEM_00169	FH141	69	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993274	NA	SRR24462361	PRJNA970052	F4:A-:B1	322	10																																																				
AusGEM_00170	FH142	69	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993275	NA	SRR24462360	PRJNA970052	F4:A-:B1	322	10																																																				
AusGEM_00171	FH143	69	Livestock	Avian	Extraintestinal	2016	AusGEM	VIC	SAMN34993276	NA	SRR24462359	PRJNA970052	F4:A-:B1	322	10																																																				
