name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
CP023816		CP023816	99152	100054	+	mph(A)	Mph(A) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	301	301	100.0	100.0	301	WP_000219391.1	Mph(A) family macrolide 2'-phosphotransferase		
CP023816		CP023816	105371	106207	-	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1		
CP023816		CP023816	106204	106548	-	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1		
CP023816		CP023816	106757	107542	-	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	262	262	100.0	100.0	262	WP_000503573.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5		
CP023816		CP023816	107676	108146	-	dfrA17	trimethoprim-resistant dihydrofolate reductase DfrA17	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.0	100.0	157	WP_001389366.1	trimethoprim-resistant dihydrofolate reductase DfrA17		
CP023816		CP023816	113127	113999	-	blaCTX-M-15	class A extended-spectrum beta-lactamase CTX-M-15	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	291	291	100.0	100.0	291	WP_000239590.1	class A extended-spectrum beta-lactamase CTX-M-15		
CP023816		CP023816	115644	116477	-	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.0	100.0	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id		
CP023816		CP023816	116480	117304	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	275	275	100.0	100.0	275	WP_109545041.1	aminoglycoside O-phosphotransferase APH(3'')-Ib		
CP023816		CP023816	117344	118156	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043265.1	sulfonamide-resistant dihydropteroate synthase Sul2		
CP023816		CP023816	122032	122889	+	aac(3)-IId	aminoglycoside N-acetyltransferase AAC(3)-IId	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	286	286	100.0	100.0	286	WP_000557454.1	aminoglycoside N-acetyltransferase AAC(3)-IId		
AE016833		AE016833	6333	7067	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	245	245	100.0	100.0	245	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)		
AE016833		AE016833	8712	9032	+	qacZ	quaternary ammonium compound efflux SMR transporter QacH	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTX	107	107	100.0	100.0	107	WP_010730188.1	quaternary ammonium compound efflux SMR transporter QacH		
AE016833		AE016833	49141	50577	+	aac(6')-Ie/aph(2'')-Ia	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTX	479	479	100.0	100.0	479	WP_001028144.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia		
AP017613		AP017613	40227	41039	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.0	100.0	271	WP_000018329.1	aminoglycoside O-phosphotransferase APH(3')-Ia		
AP017613		AP017613	46392	46811	-	merC	organomercurial transporter MerC	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	EXACTX	140	140	100.0	100.0	140	AAC33908.1	organomercurial transporter MerC		
AP017613		AP017613	46850	47122	-	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	91	91	100.0	90.11	91	AAC38219.1	mercury resistance system periplasmic binding protein MerP		
AP017613		AP017613	47139	47486	-	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	EXACTX	116	116	100.0	100.0	116	AAB59075.1	mercuric transport protein MerT		
AP017613		AP017613	47558	47989	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	144	144	100.0	93.75	144	CAA77320.1	mercury resistance transcriptional regulator MerR		
AP017613		AP017613	50025	51221	+	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.0	100.0	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)		
CP041938		CP041938	24623	25432	+	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	270	270	100.0	100.0	270	WP_004201164.1	subclass B1 metallo-beta-lactamase NDM-1		
CP041938		CP041938	25439	25801	+	ble	bleomycin binding protein Ble-MBL	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	EXACTX	121	121	100.0	100.0	121	WP_004201167.1	bleomycin binding protein Ble-MBL		
CP041938		CP041938	33078	33935	+	blaSHV-12	class A extended-spectrum beta-lactamase SHV-12	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	286	286	100.0	100.0	286	WP_002904004.1	class A extended-spectrum beta-lactamase SHV-12		
AB852526		AB852526	23076	23855	+	aac(2')-IIa	kasugamycin N-acetyltransferase AAC(2')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	KASUGAMYCIN	BLASTX	260	260	100.0	99.62	260	WP_063839881.1	kasugamycin N-acetyltransferase AAC(2')-IIa		
AB852526		AB852526	51668	52492	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTX	275	275	100.0	99.64	275	WP_109545041.1	aminoglycoside O-phosphotransferase APH(3'')-Ib		
AB852526		AB852526	52495	53328	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.0	100.0	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id		
AB852526		AB852526	53438	53671	-	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	EXACTX	78	78	100.0	100.0	78	CAA77325.1	broad-spectrum mercury transporter MerE		
AB852526		AB852526	53671	54033	-	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	EXACTX	121	121	100.0	100.0	121	ABF13034.1	mercury resistance co-regulator MerD		
AB852526		AB852526	54054	55736	-	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	561	561	100.0	93.4	561	AAC38220.1	mercury(II) reductase		
AB852526		AB852526	55811	56083	-	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	EXACTX	91	91	100.0	100.0	91	AAA98223.1	mercury resistance system periplasmic binding protein MerP		
AB852526		AB852526	56102	56449	-	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	EXACTX	116	116	100.0	100.0	116	AAA98222.1	mercuric transport protein MerT		
AB852526		AB852526	56521	56952	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	EXACTX	144	144	100.0	100.0	144	AAA98221.1	mercury resistance transcriptional regulator MerR		
KY075652		KY075652	3140	4762	-	mcr-1.1	phosphoethanolamine--lipid A transferase MCR-1.1	core	AMR	AMR	COLISTIN	COLISTIN	ALLELEX	541	541	100.0	100.0	541	WP_049589868.1	phosphoethanolamine--lipid A transferase MCR-1.1		
KT203286		KT203286	5243	5899	-	catA1	type A-1 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	219	219	100.0	100.0	219	WP_000412211.1	type A-1 chloramphenicol O-acetyltransferase		
KT203286		KT203286	152349	152777	-	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	BLASTX	143	143	100.0	91.61	143	AAD11743.1	silver-binding protein SilE		
KT203286		KT203286	153031	154503	-	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	EXACTX	491	491	100.0	100.0	491	SPD96882.1	copper/silver sensor histidine kinase SilS		
KT203286		KT203286	154499	155176	-	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	EXACTX	226	226	100.0	100.0	226	SPD96883.1	copper/silver response regulator transcription factor SilR		
KT203286		KT203286	155366	156748	+	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	EXACTX	461	461	100.0	100.0	461	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC		
KT203286		KT203286	156780	157130	+	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	117	117	100.0	99.15	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF		
KT203286		KT203286	157247	158536	+	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	430	430	100.0	97.67	430	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB		
KT203286		KT203286	158550	161693	+	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTX	1048	1048	100.0	98.85	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA		
KT203286		KT203286	162329	164794	+	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTX	822	824	99.64	94.53	823	AAD11750.1	Ag(+)-translocating P-type ATPase SilP		
KT203286		KT203286	166778	168592	+	pcoA	multicopper oxidase PcoA	plus	STRESS	METAL	COPPER	COPPER	EXACTX	605	605	100.0	100.0	605	CAA58525.1	multicopper oxidase PcoA		
KT203286		KT203286	168601	169488	+	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	EXACTX	296	296	100.0	100.0	296	CAA58526.1	copper-binding protein PcoB		
KT203286		KT203286	169531	169908	+	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTX	126	126	100.0	100.0	126	CAA58527.1	copper resistance system metallochaperone PcoC		
KT203286		KT203286	169916	170842	+	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	BLASTX	309	309	100.0	99.68	309	CAA58528.1	copper resistance inner membrane protein PcoD		
KT203286		KT203286	170900	171577	+	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTX	226	226	100.0	100.0	226	CAA58529.1	copper response regulator transcription factor PcoR		
KT203286		KT203286	171577	172821	+	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	PARTIALX	415	466	89.06	99.28	415	CAA58530.1	copper resistance membrane spanning protein PcoS		
KT203286		KT203286	175734	176165	+	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTX	144	144	100.0	94.44	144	CAA58532.1	copper resistance system metallochaperone PcoE		
KT203286		KT203286	185982	187730	-	arsA	arsenite efflux transporter ATPase subunit ArsA	plus	STRESS	METAL	ARSENIC	ARSENITE	EXACTX	583	583	100.0	100.0	583	BAA24822.1	arsenite efflux transporter ATPase subunit ArsA		
KT203286		KT203286	187751	188110	-	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	120	120	100.0	91.67	120	AAB09625.1	arsenite efflux transporter metallochaperone ArsD		
KT203286		KT203286	188163	188510	-	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	EXACTX	116	116	100.0	100.0	116	AET17094.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR		
KT203286		KT203286	200869	201435	-	hsp20	small heat shock protein sHSP20	plus	STRESS	HEAT			EXACTX	189	189	100.0	100.0	189	CDY80020.1	small heat shock protein sHSP20		
KX772391		KX772391	24969	25871	+	mph(A)	Mph(A) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	301	301	100.0	100.0	301	WP_000219391.1	Mph(A) family macrolide 2'-phosphotransferase		
KX772391		KX772391	39123	39956	-	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.0	100.0	278	WP_000480972.1	aminoglycoside O-phosphotransferase APH(6)-Id		
KX772391		KX772391	39959	40783	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	275	275	100.0	100.0	275	WP_109545041.1	aminoglycoside O-phosphotransferase APH(3'')-Ib		
KX772391		KX772391	40823	41635	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.0	100.0	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2		
KX772391		KX772391	46839	47627	-	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.0	100.0	263	WP_001206356.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2		
KX772391		KX772391	48038	48532	-	dfrA12	trimethoprim-resistant dihydrofolate reductase DfrA12	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	165	165	100.0	100.0	165	WP_001083725.1	trimethoprim-resistant dihydrofolate reductase DfrA12		
KX772391		KX772391	49834	50646	-	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.0	100.0	271	WP_000018329.1	aminoglycoside O-phosphotransferase APH(3')-Ia		
KX772391		KX772391	53347	54135	+	sul3	sulfonamide-resistant dihydropteroate synthase Sul3	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	263	263	100.0	100.0	263	WP_000034420.1	sulfonamide-resistant dihydropteroate synthase Sul3		
KX772391		KX772391	55321	55650	-	qacL	quaternary ammonium compound efflux SMR transporter QacL	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTX	110	110	100.0	100.0	110	WP_000800531.1	quaternary ammonium compound efflux SMR transporter QacL		
KX772391		KX772391	55823	56611	-	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.0	100.0	263	WP_001206316.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1		
KX772391		KX772391	56707	57963	-	cmlA1	chloramphenicol efflux MFS transporter CmlA1	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	419	419	100.0	100.0	419	WP_000095725.1	chloramphenicol efflux MFS transporter CmlA1		
KX772391		KX772391	58228	59016	-	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.0	100.0	263	WP_001261740.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2		
KX772391		KX772391	64477	65673	+	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.0	100.0	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)		
KX772391		KX772391	91725	93347	-	mcr-1.1	phosphoethanolamine--lipid A transferase MCR-1.1	core	AMR	AMR	COLISTIN	COLISTIN	ALLELEX	541	541	100.0	100.0	541	WP_049589868.1	phosphoethanolamine--lipid A transferase MCR-1.1		
KX772391		KX772391	122500	123711	+	floR	chloramphenicol/florfenicol efflux MFS transporter FloR	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	BLASTX	404	404	100.0	99.5	404	WP_000214122.1	chloramphenicol/florfenicol efflux MFS transporter FloR		
KX772391		KX772391	127262	128119	+	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.0	100.0	286	WP_000027057.1	class A broad-spectrum beta-lactamase TEM-1		
CP018242		CP018242	3465	5429	+	etpD	variant type II secretion system secretin EtpD	plus	VIRULENCE	VIRULENCE			BLASTX	655	656	99.85	94.5	655	BAI33940.1	variant type II secretion system secretin EtpD		
CP018242		CP018242	16612	19605	+	ehxA	enterohemolysin EhxA	plus	VIRULENCE	VIRULENCE			EXACTX	998	998	100.0	100.0	998	BAA31774.1	enterohemolysin EhxA		
CP018242		CP018242	53298	62804	+	toxB	toxin B	plus	VIRULENCE	VIRULENCE			BLASTX	3169	3169	100.0	99.94	3169	BAA31815.1	toxin B		
CP018242		CP018242	74206	76413	+	katP	catalase/peroxidase KatP	plus	VIRULENCE	VIRULENCE			EXACTX	736	736	100.0	100.0	736	BAA31832.1	catalase/peroxidase KatP		
CP018242		CP018242	78075	81974	+	espP	serine protease autotransporter EspP	plus	VIRULENCE	VIRULENCE			EXACTX	1300	1300	100.0	100.0	1300	BAA31836.1	serine protease autotransporter EspP		
CP041271		CP041271	106093	107529	-	aac(6')-Ie/aph(2'')-Ia	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	BLASTX	479	479	100.0	99.79	479	WP_001028144.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia		
CP038169		CP038169	31778	33403	-	poxtA	ABC-F type ribosomal protection protein PoxtA	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	542	542	100.0	100.0	542	WP_002415638.1	ABC-F type ribosomal protection protein PoxtA		
CP038169		CP038169	37093	39009	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.0	100.0	639	WP_001574275.1	tetracycline resistance ribosomal protection protein Tet(M)		
CP038169		CP038169	39206	40579	+	tet(L)	tetracycline efflux MFS transporter Tet(L)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	458	458	100.0	98.69	458	WP_002294500.1	tetracycline efflux MFS transporter Tet(L)		
CP029434		CP029434	44247	45995	-	arsA	arsenite efflux transporter ATPase subunit ArsA	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	583	583	100.0	99.14	583	AAB09626.1	arsenite efflux transporter ATPase subunit ArsA		
CP029434		CP029434	46016	46375	-	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	120	120	100.0	98.33	120	AAB09625.1	arsenite efflux transporter metallochaperone ArsD		
CP029434		CP029434	46426	46776	-	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	EXACTX	117	117	100.0	100.0	117	AAB09624.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR		
KF793937		KF793937	15107	16303	-	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.0	100.0	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)		
KF793937		KF793937	22955	23506	+	aac(6')-Ib-cr5	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5	core	AMR	AMR	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	ALLELEX	184	184	100.0	100.0	184	WP_063840321.1	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5		
KF793937		KF793937	23640	24467	+	blaOXA-1	oxacillin-hydrolyzing class D beta-lactamase OXA-1	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	276	276	100.0	100.0	276	WP_001334766.1	oxacillin-hydrolyzing class D beta-lactamase OXA-1		
KF793937		KF793937	24608	25237	+	catB3	type B-3 chloramphenicol O-acetyltransferase CatB3	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	210	210	100.0	100.0	210	WP_000186237.1	type B-3 chloramphenicol O-acetyltransferase CatB3		
KF793937		KF793937	25325	25774	+	arr-3	NAD(+)--rifampin ADP-ribosyltransferase Arr-3	core	AMR	AMR	RIFAMYCIN	RIFAMYCIN	EXACTX	150	150	100.0	100.0	150	WP_001749986.1	NAD(+)--rifampin ADP-ribosyltransferase Arr-3		
KF793937		KF793937	26000	26344	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.0	100.0	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1		
KF793937		KF793937	26341	27177	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.0	100.0	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1		
KF793937		KF793937	35901	36542	-	qnrB4	quinolone resistance pentapeptide repeat protein QnrB4	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	214	214	100.0	100.0	214	WP_017900990.1	quinolone resistance pentapeptide repeat protein QnrB4		
KF793937		KF793937	40669	41805	-	blaDHA-1	class C beta-lactamase DHA-1	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	379	379	100.0	100.0	379	WP_004236386.1	class C beta-lactamase DHA-1		
KF793937		KF793937	43382	44218	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	BLASTX	279	279	100.0	99.64	279	WP_000259018.1	sulfonamide-resistant dihydropteroate synthase Sul1		
KF793937		KF793937	49535	50437	-	mph(A)	Mph(A) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	301	301	100.0	100.0	301	WP_000219391.1	Mph(A) family macrolide 2'-phosphotransferase		
KF793937		KF793937	51414	52226	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.0	100.0	271	WP_000018329.1	aminoglycoside O-phosphotransferase APH(3')-Ia		
CP021544		CP021544	876	1763	+	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	EXACTX	296	296	100.0	100.0	296	CAA58526.1	copper-binding protein PcoB		
