name	Locus	Identity	Coverage	Alignment Length	Allele Length	Gaps	Allele	Simple Allele	IncF RST
CP032609	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP032609	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP009667	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP009667	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP009667	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP009667	FII	-	-	-	-	-	-	-	F-:A-:B-
CP009667	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP009667	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP009667	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP023816	FIA	100.0	100.0	384	384	0	FIA_1	A1	F1:A1:B49
CP023816	FIB	100.0	100.0	373	373	0	FIB_49	B49	F1:A1:B49
CP023816	FIC	-	-	-	-	-	-	-	F1:A1:B49
CP023816	FII	100.0	100.0	157	157	0	FII_1	F1	F1:A1:B49
CP023816	FIIK	-	-	-	-	-	-	-	F1:A1:B49
CP023816	FIIS	-	-	-	-	-	-	-	F1:A1:B49
CP023816	FIIY	-	-	-	-	-	-	-	F1:A1:B49
CP030417	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP030417	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP030417	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP030417	FII	-	-	-	-	-	-	-	F-:A-:B-
CP030417	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP030417	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP030417	FIIY	-	-	-	-	-	-	-	F-:A-:B-
KP691634	FIA	-	-	-	-	-	-	-	F-:A-:B-
KP691634	FIB	-	-	-	-	-	-	-	F-:A-:B-
KP691634	FIC	-	-	-	-	-	-	-	F-:A-:B-
KP691634	FII	-	-	-	-	-	-	-	F-:A-:B-
KP691634	FIIK	-	-	-	-	-	-	-	F-:A-:B-
KP691634	FIIS	-	-	-	-	-	-	-	F-:A-:B-
KP691634	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP015043	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP015043	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP015043	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP015043	FII	-	-	-	-	-	-	-	F-:A-:B-
CP015043	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP015043	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP015043	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP043622	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP043622	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP043622	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP043622	FII	-	-	-	-	-	-	-	F-:A-:B-
CP043622	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP043622	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP043622	FIIY	-	-	-	-	-	-	-	F-:A-:B-
NC_011868	FIA	-	-	-	-	-	-	-	F-:A-:B-
NC_011868	FIB	-	-	-	-	-	-	-	F-:A-:B-
NC_011868	FIC	-	-	-	-	-	-	-	F-:A-:B-
NC_011868	FII	-	-	-	-	-	-	-	F-:A-:B-
NC_011868	FIIK	-	-	-	-	-	-	-	F-:A-:B-
NC_011868	FIIS	-	-	-	-	-	-	-	F-:A-:B-
NC_011868	FIIY	-	-	-	-	-	-	-	F-:A-:B-
AE016833	FIA	-	-	-	-	-	-	-	F-:A-:B-
AE016833	FIB	-	-	-	-	-	-	-	F-:A-:B-
AE016833	FIC	-	-	-	-	-	-	-	F-:A-:B-
AE016833	FII	-	-	-	-	-	-	-	F-:A-:B-
AE016833	FIIK	-	-	-	-	-	-	-	F-:A-:B-
AE016833	FIIS	-	-	-	-	-	-	-	F-:A-:B-
AE016833	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP044515	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP044515	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP044515	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP044515	FII	-	-	-	-	-	-	-	F-:A-:B-
CP044515	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP044515	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP044515	FIIY	-	-	-	-	-	-	-	F-:A-:B-
AP017613	FIA	-	-	-	-	-	-	-	F-:A-:B-
AP017613	FIB	-	-	-	-	-	-	-	F-:A-:B-
AP017613	FIC	-	-	-	-	-	-	-	F-:A-:B-
AP017613	FII	-	-	-	-	-	-	-	F-:A-:B-
AP017613	FIIK	-	-	-	-	-	-	-	F-:A-:B-
AP017613	FIIS	-	-	-	-	-	-	-	F-:A-:B-
AP017613	FIIY	-	-	-	-	-	-	-	F-:A-:B-
JQ418530	FIA	-	-	-	-	-	-	-	F-:A-:B-
JQ418530	FIB	-	-	-	-	-	-	-	F-:A-:B-
JQ418530	FIC	-	-	-	-	-	-	-	F-:A-:B-
JQ418530	FII	-	-	-	-	-	-	-	F-:A-:B-
JQ418530	FIIK	-	-	-	-	-	-	-	F-:A-:B-
JQ418530	FIIS	-	-	-	-	-	-	-	F-:A-:B-
JQ418530	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP017131	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP017131	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP017131	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP017131	FII	-	-	-	-	-	-	-	F-:A-:B-
CP017131	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP017131	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP017131	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP018730	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP018730	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP018730	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP018730	FII	-	-	-	-	-	-	-	F-:A-:B-
CP018730	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP018730	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP018730	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP034228	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP034228	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP034228	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP034228	FII	-	-	-	-	-	-	-	F-:A-:B-
CP034228	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP034228	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP034228	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP036960	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP036960	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP036960	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP036960	FII	-	-	-	-	-	-	-	F-:A-:B-
CP036960	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP036960	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP036960	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP026790	FIA	100.0	100.0	383	383	0	FIA_8	A8	F-:A8:B-
CP026790	FIB	-	-	-	-	-	-	-	F-:A8:B-
CP026790	FIC	-	-	-	-	-	-	-	F-:A8:B-
CP026790	FII	-	-	-	-	-	-	-	F-:A8:B-
CP026790	FIIK	-	-	-	-	-	-	-	F-:A8:B-
CP026790	FIIS	-	-	-	-	-	-	-	F-:A8:B-
CP026790	FIIY	-	-	-	-	-	-	-	F-:A8:B-
CU468128	FIA	-	-	-	-	-	-	-	F-:A-:B-
CU468128	FIB	-	-	-	-	-	-	-	F-:A-:B-
CU468128	FIC	-	-	-	-	-	-	-	F-:A-:B-
CU468128	FII	-	-	-	-	-	-	-	F-:A-:B-
CU468128	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CU468128	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CU468128	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP017288	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP017288	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP017288	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP017288	FII	-	-	-	-	-	-	-	F-:A-:B-
CP017288	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP017288	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP017288	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP009992	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP009992	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP009992	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP009992	FII	-	-	-	-	-	-	-	F-:A-:B-
CP009992	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP009992	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP009992	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP010364	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP010364	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP010364	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP010364	FII	-	-	-	-	-	-	-	F-:A-:B-
CP010364	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP010364	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP010364	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP041938	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP041938	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP041938	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP041938	FII	-	-	-	-	-	-	-	F-:A-:B-
CP041938	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP041938	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP041938	FIIY	-	-	-	-	-	-	-	F-:A-:B-
AB852526	FIA	-	-	-	-	-	-	-	F-:A-:B-
AB852526	FIB	-	-	-	-	-	-	-	F-:A-:B-
AB852526	FIC	-	-	-	-	-	-	-	F-:A-:B-
AB852526	FII	-	-	-	-	-	-	-	F-:A-:B-
AB852526	FIIK	-	-	-	-	-	-	-	F-:A-:B-
AB852526	FIIS	-	-	-	-	-	-	-	F-:A-:B-
AB852526	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP044652	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP044652	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP044652	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP044652	FII	-	-	-	-	-	-	-	F-:A-:B-
CP044652	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP044652	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP044652	FIIY	-	-	-	-	-	-	-	F-:A-:B-
KY075652	FIA	-	-	-	-	-	-	-	F-:A-:B-
KY075652	FIB	-	-	-	-	-	-	-	F-:A-:B-
KY075652	FIC	-	-	-	-	-	-	-	F-:A-:B-
KY075652	FII	-	-	-	-	-	-	-	F-:A-:B-
KY075652	FIIK	-	-	-	-	-	-	-	F-:A-:B-
KY075652	FIIS	-	-	-	-	-	-	-	F-:A-:B-
KY075652	FIIY	-	-	-	-	-	-	-	F-:A-:B-
NC_009453	FIA	-	-	-	-	-	-	-	F-:A-:B-
NC_009453	FIB	-	-	-	-	-	-	-	F-:A-:B-
NC_009453	FIC	-	-	-	-	-	-	-	F-:A-:B-
NC_009453	FII	-	-	-	-	-	-	-	F-:A-:B-
NC_009453	FIIK	-	-	-	-	-	-	-	F-:A-:B-
NC_009453	FIIS	-	-	-	-	-	-	-	F-:A-:B-
NC_009453	FIIY	-	-	-	-	-	-	-	F-:A-:B-
KT203286	FIA	-	-	-	-	-	-	-	K5:A-:B-
KT203286	FIB	-	-	-	-	-	-	-	K5:A-:B-
KT203286	FIC	-	-	-	-	-	-	-	K5:A-:B-
KT203286	FII	-	-	-	-	-	-	-	K5:A-:B-
KT203286	FIIK	100.0	100.0	88	88	0	FIIK_5	K5	K5:A-:B-
KT203286	FIIS	-	-	-	-	-	-	-	K5:A-:B-
KT203286	FIIY	-	-	-	-	-	-	-	K5:A-:B-
FJ985252	FIA	-	-	-	-	-	-	-	F-:A-:B-
FJ985252	FIB	-	-	-	-	-	-	-	F-:A-:B-
FJ985252	FIC	-	-	-	-	-	-	-	F-:A-:B-
FJ985252	FII	-	-	-	-	-	-	-	F-:A-:B-
FJ985252	FIIK	-	-	-	-	-	-	-	F-:A-:B-
FJ985252	FIIS	-	-	-	-	-	-	-	F-:A-:B-
FJ985252	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP045319	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP045319	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP045319	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP045319	FII	-	-	-	-	-	-	-	F-:A-:B-
CP045319	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP045319	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP045319	FIIY	-	-	-	-	-	-	-	F-:A-:B-
NC_009787	FIA	-	-	-	-	-	-	-	F16:A-:B-
NC_009787	FIB	-	-	-	-	-	-	-	F16:A-:B-
NC_009787	FIC	-	-	-	-	-	-	-	F16:A-:B-
NC_009787	FII	100.0	100.0	157	157	0	FII_16	F16	F16:A-:B-
NC_009787	FIIK	-	-	-	-	-	-	-	F16:A-:B-
NC_009787	FIIS	-	-	-	-	-	-	-	F16:A-:B-
NC_009787	FIIY	-	-	-	-	-	-	-	F16:A-:B-
CP001240	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP001240	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP001240	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP001240	FII	-	-	-	-	-	-	-	F-:A-:B-
CP001240	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP001240	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP001240	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP024865	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP024865	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP024865	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP024865	FII	-	-	-	-	-	-	-	F-:A-:B-
CP024865	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP024865	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP024865	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP045398	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP045398	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP045398	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP045398	FII	-	-	-	-	-	-	-	F-:A-:B-
CP045398	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP045398	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP045398	FIIY	-	-	-	-	-	-	-	F-:A-:B-
KX772391	FIA	-	-	-	-	-	-	-	F-:A-:B-
KX772391	FIB	-	-	-	-	-	-	-	F-:A-:B-
KX772391	FIC	-	-	-	-	-	-	-	F-:A-:B-
KX772391	FII	-	-	-	-	-	-	-	F-:A-:B-
KX772391	FIIK	-	-	-	-	-	-	-	F-:A-:B-
KX772391	FIIS	-	-	-	-	-	-	-	F-:A-:B-
KX772391	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP018242	FIA	-	-	-	-	-	-	-	F23:A-:B3
CP018242	FIB	100.0	100.0	373	373	0	FIB_3	B3	F23:A-:B3
CP018242	FIC	-	-	-	-	-	-	-	F23:A-:B3
CP018242	FII	100.0	100.0	155	155	0	FII_23	F23	F23:A-:B3
CP018242	FIIK	-	-	-	-	-	-	-	F23:A-:B3
CP018242	FIIS	-	-	-	-	-	-	-	F23:A-:B3
CP018242	FIIY	-	-	-	-	-	-	-	F23:A-:B3
CP020439	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP020439	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP020439	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP020439	FII	-	-	-	-	-	-	-	F-:A-:B-
CP020439	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP020439	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP020439	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP017010	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP017010	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP017010	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP017010	FII	-	-	-	-	-	-	-	F-:A-:B-
CP017010	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP017010	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP017010	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP041271	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP041271	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP041271	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP041271	FII	-	-	-	-	-	-	-	F-:A-:B-
CP041271	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP041271	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP041271	FIIY	-	-	-	-	-	-	-	F-:A-:B-
NC_002137	FIA	-	-	-	-	-	-	-	F-:A-:B-
NC_002137	FIB	-	-	-	-	-	-	-	F-:A-:B-
NC_002137	FIC	-	-	-	-	-	-	-	F-:A-:B-
NC_002137	FII	-	-	-	-	-	-	-	F-:A-:B-
NC_002137	FIIK	-	-	-	-	-	-	-	F-:A-:B-
NC_002137	FIIS	-	-	-	-	-	-	-	F-:A-:B-
NC_002137	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP038169	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP038169	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP038169	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP038169	FII	-	-	-	-	-	-	-	F-:A-:B-
CP038169	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP038169	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP038169	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP029434	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP029434	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP029434	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP029434	FII	-	-	-	-	-	-	-	F-:A-:B-
CP029434	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP029434	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP029434	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP033526	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP033526	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP033526	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP033526	FII	-	-	-	-	-	-	-	F-:A-:B-
CP033526	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP033526	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP033526	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP037457	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP037457	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP037457	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP037457	FII	-	-	-	-	-	-	-	F-:A-:B-
CP037457	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP037457	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP037457	FIIY	-	-	-	-	-	-	-	F-:A-:B-
AP018271	FIA	-	-	-	-	-	-	-	F-:A-:B-
AP018271	FIB	-	-	-	-	-	-	-	F-:A-:B-
AP018271	FIC	-	-	-	-	-	-	-	F-:A-:B-
AP018271	FII	-	-	-	-	-	-	-	F-:A-:B-
AP018271	FIIK	-	-	-	-	-	-	-	F-:A-:B-
AP018271	FIIS	-	-	-	-	-	-	-	F-:A-:B-
AP018271	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP017904	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP017904	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP017904	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP017904	FII	-	-	-	-	-	-	-	F-:A-:B-
CP017904	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP017904	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP017904	FIIY	-	-	-	-	-	-	-	F-:A-:B-
NC_018883	FIA	-	-	-	-	-	-	-	F-:A-:B-
NC_018883	FIB	-	-	-	-	-	-	-	F-:A-:B-
NC_018883	FIC	-	-	-	-	-	-	-	F-:A-:B-
NC_018883	FII	-	-	-	-	-	-	-	F-:A-:B-
NC_018883	FIIK	-	-	-	-	-	-	-	F-:A-:B-
NC_018883	FIIS	-	-	-	-	-	-	-	F-:A-:B-
NC_018883	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP040245	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP040245	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP040245	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP040245	FII	-	-	-	-	-	-	-	F-:A-:B-
CP040245	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP040245	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP040245	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP016025	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP016025	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP016025	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP016025	FII	-	-	-	-	-	-	-	F-:A-:B-
CP016025	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP016025	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP016025	FIIY	-	-	-	-	-	-	-	F-:A-:B-
KF793937	FIA	-	-	-	-	-	-	-	F-:A-:B-
KF793937	FIB	-	-	-	-	-	-	-	F-:A-:B-
KF793937	FIC	-	-	-	-	-	-	-	F-:A-:B-
KF793937	FII	-	-	-	-	-	-	-	F-:A-:B-
KF793937	FIIK	-	-	-	-	-	-	-	F-:A-:B-
KF793937	FIIS	-	-	-	-	-	-	-	F-:A-:B-
KF793937	FIIY	-	-	-	-	-	-	-	F-:A-:B-
LR134430	FIA	-	-	-	-	-	-	-	F-:A-:B-
LR134430	FIB	-	-	-	-	-	-	-	F-:A-:B-
LR134430	FIC	-	-	-	-	-	-	-	F-:A-:B-
LR134430	FII	-	-	-	-	-	-	-	F-:A-:B-
LR134430	FIIK	-	-	-	-	-	-	-	F-:A-:B-
LR134430	FIIS	-	-	-	-	-	-	-	F-:A-:B-
LR134430	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP021544	FIA	-	-	-	-	-	-	-	K1:A-:B-
CP021544	FIB	-	-	-	-	-	-	-	K1:A-:B-
CP021544	FIC	-	-	-	-	-	-	-	K1:A-:B-
CP021544	FII	-	-	-	-	-	-	-	K1:A-:B-
CP021544	FIIK	100.0	100.0	88	88	0	FIIK_1	K1	K1:A-:B-
CP021544	FIIS	-	-	-	-	-	-	-	K1:A-:B-
CP021544	FIIY	-	-	-	-	-	-	-	K1:A-:B-
NC_019359	FIA	-	-	-	-	-	-	-	F-:A-:B-
NC_019359	FIB	-	-	-	-	-	-	-	F-:A-:B-
NC_019359	FIC	-	-	-	-	-	-	-	F-:A-:B-
NC_019359	FII	-	-	-	-	-	-	-	F-:A-:B-
NC_019359	FIIK	-	-	-	-	-	-	-	F-:A-:B-
NC_019359	FIIS	-	-	-	-	-	-	-	F-:A-:B-
NC_019359	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP025421	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP025421	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP025421	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP025421	FII	-	-	-	-	-	-	-	F-:A-:B-
CP025421	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP025421	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP025421	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP013005	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP013005	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP013005	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP013005	FII	-	-	-	-	-	-	-	F-:A-:B-
CP013005	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP013005	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP013005	FIIY	-	-	-	-	-	-	-	F-:A-:B-
CP009276	FIA	-	-	-	-	-	-	-	F-:A-:B-
CP009276	FIB	-	-	-	-	-	-	-	F-:A-:B-
CP009276	FIC	-	-	-	-	-	-	-	F-:A-:B-
CP009276	FII	-	-	-	-	-	-	-	F-:A-:B-
CP009276	FIIK	-	-	-	-	-	-	-	F-:A-:B-
CP009276	FIIS	-	-	-	-	-	-	-	F-:A-:B-
CP009276	FIIY	-	-	-	-	-	-	-	F-:A-:B-
LS999562	FIA	-	-	-	-	-	-	-	F-:A-:B-
LS999562	FIB	-	-	-	-	-	-	-	F-:A-:B-
LS999562	FIC	-	-	-	-	-	-	-	F-:A-:B-
LS999562	FII	-	-	-	-	-	-	-	F-:A-:B-
LS999562	FIIK	-	-	-	-	-	-	-	F-:A-:B-
LS999562	FIIS	-	-	-	-	-	-	-	F-:A-:B-
