name	resistance	class_includes_CIA_res	resistance_genes_present	genes	Strain_count_of_AMR_gene_classes	Strain_MDR_status	Strain_CIA_status	Strain_count_of_AMR_genes
AUSMDU00048375	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00048375	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00048375	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00015601	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00015601	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00015601	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00015601	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00015601	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00015601	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00015601	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00015601	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00007865	ESBL	TRUE	1	blaCTX-M-27	2	0	1	3
AUSMDU00007865	Efflux	FALSE	1	acrF*,emrD*,mdtM*	2	0	1	3
AUSMDU00007865	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	2	0	1	3
AUSMDU00032387	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00032387	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00032387	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00032387	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00032387	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00032387	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00032387	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00032387	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00011316	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00011316	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00011316	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00011316	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00011316	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00011316	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00011316	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00011316	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00007569	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00007569	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00007569	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00007569	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00007569	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00007569	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00007569	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00007569	Macrolide	TRUE	1	mph(A)	7	1	1	8
SRR7828844	ESBL	TRUE	1	blaCTX-M-27	6	1	1	7
SRR7828844	Efflux	FALSE	1	acrF*,emrD*,mdtM*	6	1	1	7
SRR7828844	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	6	1	1	7
SRR7828844	Sulfonamide	FALSE	1	sul1,sul2	6	1	1	7
SRR7828844	Trimethoprim	FALSE	1	dfrA17	6	1	1	7
SRR7828844	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib	6	1	1	7
SRR7828844	Macrolide	TRUE	1	mph(A)	6	1	1	7
AUSMDU00020089	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00020089	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00020089	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00020089	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00020089	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00020089	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00020089	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00020089	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00017100	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00017100	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00017100	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00017100	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00017100	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00017100	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00017100	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00017100	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00011872	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00011872	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00011872	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00011872	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00011872	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00011872	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00011872	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00011872	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00021640	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00021640	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00021640	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00021640	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00021640	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00021640	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00021640	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00021640	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00019175	ESBL	TRUE	1	blaCTX-M-27	4	1	1	5
AUSMDU00019175	Efflux	FALSE	1	acrF*,emrD*,mdtM*	4	1	1	5
AUSMDU00019175	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	4	1	1	5
AUSMDU00019175	Trimethoprim	FALSE	1	dfrA17	4	1	1	5
AUSMDU00019175	Streptomycin	FALSE	1	aadA5	4	1	1	5
AUSMDU00016859	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00016859	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00016859	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00016859	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00016859	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00016859	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00016859	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00016859	Macrolide	TRUE	1	mph(A)	7	1	1	8
ERR5355725	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
ERR5355725	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
ERR5355725	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
ERR5355725	Tetracycline	FALSE	1	tet(A)	7	1	1	8
ERR5355725	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
ERR5355725	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
ERR5355725	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
ERR5355725	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00015562	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00015562	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00015562	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00015562	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00015562	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00015562	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00015562	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00015562	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00021652	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00021652	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00021652	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00021652	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00021652	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00021652	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00021652	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00021652	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00021684	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00021684	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00021684	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00021684	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00021684	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00021684	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00021684	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00021684	Macrolide	TRUE	1	mph(A)	7	1	1	8
ERR5355620	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
ERR5355620	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
ERR5355620	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
ERR5355620	Tetracycline	FALSE	1	tet(A)	7	1	1	8
ERR5355620	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
ERR5355620	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
ERR5355620	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
ERR5355620	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00009582	Efflux	FALSE	1	acrF*,emrD*,mdtM*	1	0	1	2
AUSMDU00009582	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	1	0	1	2
ERR5355977	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
ERR5355977	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
ERR5355977	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
ERR5355977	Tetracycline	FALSE	1	tet(A)	7	1	1	8
ERR5355977	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
ERR5355977	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
ERR5355977	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
ERR5355977	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00022551	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00022551	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00022551	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00022551	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00022551	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00022551	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00022551	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00022551	Macrolide	TRUE	1	mph(A)	7	1	1	8
AusGEM_00727	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AusGEM_00727	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AusGEM_00727	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AusGEM_00727	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AusGEM_00727	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AusGEM_00727	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AusGEM_00727	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AusGEM_00727	Macrolide	TRUE	1	mph(A)	7	1	1	8
AusGEM_00339	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AusGEM_00339	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AusGEM_00339	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AusGEM_00339	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AusGEM_00339	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AusGEM_00339	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AusGEM_00339	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AusGEM_00339	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00020390	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00020390	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00020390	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00020390	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00020390	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00020390	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00020390	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00020390	Macrolide	TRUE	1	mph(A)	7	1	1	8
AusGEM_00346	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AusGEM_00346	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AusGEM_00346	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AusGEM_00346	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AusGEM_00346	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AusGEM_00346	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AusGEM_00346	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AusGEM_00346	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00022084	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00022084	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00022084	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00022084	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00022084	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00022084	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00022084	Streptomycin	FALSE	1	aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00022084	Macrolide	TRUE	1	mph(A)	7	1	1	8
TEA_B1573	Efflux	FALSE	1	emrD*,mdtM*	1	0	1	2
TEA_B1573	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	1	0	1	2
TEA_B1547	Efflux	FALSE	1	acrF*,emrD*,mdtM*	1	0	1	2
TEA_B1547	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	1	0	1	2
ERR5355910	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
ERR5355910	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
ERR5355910	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
ERR5355910	Tetracycline	FALSE	1	tet(A)	7	1	1	8
ERR5355910	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
ERR5355910	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
ERR5355910	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
ERR5355910	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00034353	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00034353	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00034353	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00034353	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00034353	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00034353	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00034353	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00034353	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00011308	Beta-lactamase_(not_ESBL_or_carbapenemase)	FALSE	1	blaTEM-1	7	1	1	9
AUSMDU00011308	ESBL	TRUE	1	blaCTX-M-27	7	1	1	9
AUSMDU00011308	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	9
AUSMDU00011308	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	9
AUSMDU00011308	Tetracycline	FALSE	1	tet(A)	7	1	1	9
AUSMDU00011308	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	9
AUSMDU00011308	Trimethoprim	FALSE	1	dfrA17	7	1	1	9
AUSMDU00011308	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib	7	1	1	9
AUSMDU00011308	Macrolide	TRUE	1	mph(A)	7	1	1	9
AUSMDU00016169	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
AUSMDU00016169	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
AUSMDU00016169	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
AUSMDU00016169	Tetracycline	FALSE	1	tet(A)	7	1	1	8
AUSMDU00016169	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
AUSMDU00016169	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
AUSMDU00016169	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
AUSMDU00016169	Macrolide	TRUE	1	mph(A)	7	1	1	8
SRR5936484	ESBL	TRUE	1	blaCTX-M-27	7	1	1	8
SRR5936484	Efflux	FALSE	1	acrF*,emrD*,mdtM*	7	1	1	8
SRR5936484	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	7	1	1	8
SRR5936484	Tetracycline	FALSE	1	tet(A)	7	1	1	8
SRR5936484	Sulfonamide	FALSE	1	sul1,sul2	7	1	1	8
SRR5936484	Trimethoprim	FALSE	1	dfrA17	7	1	1	8
SRR5936484	Streptomycin	FALSE	1	aadA5,aph(3'')-Ib,aph(6)-Id	7	1	1	8
SRR5936484	Macrolide	TRUE	1	mph(A)	7	1	1	8
AUSMDU00016512	ESBL	TRUE	1	blaCTX-M-27	6	1	1	7
AUSMDU00016512	Efflux	FALSE	1	acrF*,emrD*,mdtM*	6	1	1	7
AUSMDU00016512	Quinolone	TRUE	1	gyrA_D87N,gyrA_S83L,parC_E84V,parC_S80I,parE_I529L	6	1	1	7
AUSMDU00016512	Sulfonamide	FALSE	1	sul1	6	1	1	7
AUSMDU00016512	Trimethoprim	FALSE	1	dfrA17	6	1	1	7
AUSMDU00016512	Streptomycin	FALSE	1	aadA5	6	1	1	7
