sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
AusGEM_00004:AA372	2	58888	42.29724222252411	39b3e4b869e2c4b71a8a91abddadea7e	IncI2	JN983044	MOBP	MN232180_00018	MPF_T	NC_019115_00018,NC_020270_00063,NC_019039_00052,NC_019039_00051,NC_020270_00058	-	-	conjugative	CP034061	0.00730426	Shigella flexneri	AA372	AI347	family	Enterobacteriaceae	family	Enterobacteriaceae	family	Enterobacteriaceae	26842776; 30761100; 25861872
AusGEM_00004:AA336	14	82881	50.462711598556965	0e3abc92e9548aa263fbf92d7ec27b95	IncFIA	CP022610_00144	MOBF,MOBF	NC_011980_00044,MF535908_00027	MPF_F	NC_019037_00027,NC_019094_00068,NC_009837_00049,NC_009837_00049,NC_022651_00077,NZ_CM001154_00091,NC_013437_00116,NC_010488_00021,NC_019037_00027,08-5333_00200,NC_019094_00090,NC_017639_00094,NC_007675_00027	MOBF	CP000430	conjugative	CP035518	0.0333664	Escherichia coli	AA336	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 24247128; 20851899; 22511964
AusGEM_00004:novel_3a546d1a7cf90cda5bd31bdf8495f85f	8	37851	49.095136191910385	3a546d1a7cf90cda5bd31bdf8495f85f	IncFIA	000136__AP014877_00014	-	-	MPF_T	NC_013437_00116	-	-	non-mobilizable	CP023389	0.0631684	Escherichia coli	novel_3a546d1a7cf90cda5bd31bdf8495f85f	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	10773089; 25389419; 19897651; 24247128; 20851899; 22511964
AusGEM_00004:AC039	2	33870	47.6380277531739	fe432ff122c1416dd1e6d3853a88c8fc	IncFIB	000095__NZ_CP014273_00094	-	-	-	-	-	-	non-mobilizable	MK416152	0.0259767	Escherichia coli	AC039	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_00004:AF190	2	18089	54.790203991375975	18697fd19a3e5a03950f34ed88cb5bb4	-	-	-	-	-	-	-	-	non-mobilizable	CP019281	0.0543589	Escherichia coli	AF190	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_00004:AG658	1	11188	50.53628888094387	0b65daedd3877aff47ab831ef3a0473f	-	-	-	-	-	-	-	-	non-mobilizable	KX434884	0.00291212	Klebsiella pneumoniae	AG658	AQ709	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00004:AA147	1	9024	47.285017730496456	d30199c0eebc42433927e2ac3ed54c66	rep_cluster_2350,rep_cluster_2350,rep_cluster_2401	CP035723_00002,CP031900_00001,CP039864_00003	MOBP	NC_022662_00003	-	-	MOBF,MOBP,MOBP,MOB_unknown	KT950740,CP018844,NC_019078,NC_019986	mobilizable	NC_022662	0.011984	Escherichia coli JJ1886	AA147	AH786	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00004:AB685	1	1711	50.90590298071303	d062a566cdc023d1d8c44874955f171e	Col(MG828)	NC_008486	-	-	-	-	MOBP,MOB_unknown	AB027308,CP018359	mobilizable	CP023858	0.000409992	Escherichia coli	AB685	AK563	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AusGEM_00005:AA551	6	56152	52.32582989029776	51da7f119f3851b0994c82bbef41a631	IncN	000153__NC_019087_00001	MOBF	NC_015599_00019	MPF_T	NC_022375_00024,NC_009131_00030,NC_011617_00041,NC_014368_00014,NC_007682_00044,NC_008612_00190	MOBF	NZ_CP014489	conjugative	CP026053	0.00617965	Salmonella enterica	AA551	AI743	class	Gammaproteobacteria	class	Gammaproteobacteria	order	Enterobacterales	23114770; 20851899; 28842132
AusGEM_00005:AA053	1	10820	52.292051756007396	3a89b3789f25dd110066be9aa46f3828	-	-	-	-	-	-	-	-	non-mobilizable	CP039329	0.0588483	Citrobacter portucalensis	AA053	-	genus	Citrobacter	genus	Citrobacter	-	-	-
AusGEM_00005:AD484	1	4401	43.60372642581232	cf455dc05d59da38e24c458cb2cc7abb	rep_cluster_2350	CP035723_00002	-	-	-	-	MOBF,MOBP,MOB_unknown	KT950740,KX712120,NC_019986	mobilizable	CP032493	0.000780658	Salmonella enterica subsp. enterica serovar Typhimurium	AD484	AN055	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
AusGEM_00005:AB059	1	3170	41.41955835962145	f303f0cb2b89413d9590fea4b978b420	rep_cluster_2358	CP000974_00005	-	-	-	-	-	-	non-mobilizable	CP028466	0.0583726	Escherichia coli	AB059	-	phylum	Pseudomonadota	order	Enterobacterales	phylum	Pseudomonadota	24096417
AusGEM_00006:AA178	8	181533	49.57666099276715	31bac2021cb3c9cc16905b65ee76d733	IncFIB,IncFIC,rep_cluster_2244,rep_cluster_2313	000096__NC_019117_00097,AP001918,CP033091_00053,CP025980_00001	MOBF,MOBP	NC_017627_00068,NC_021819_00066	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP015086	conjugative	CP005931	0.00238081	Escherichia coli APEC IMT5155	AA178	AH863	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_00006:AA474	4	115232	51.39197445154124	8dd10fc28e8b66b5c0a637d58ff5dfe7	IncI-gamma/K1	MG764547	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	JN253636	conjugative	KY748189	0.0081558	Escherichia coli	AA474	AI601	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AusGEM_00006:AA979	1	5550	47.26126126126126	00fc9d4f20f53d60f966630bc6322d3f	Col156	CP001126_00001	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	NC_016840	0.0222766	Klebsiella pneumoniae subsp. pneumoniae HS11286	AA979	AJ483	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
AusGEM_00007:AA378	6	106263	48.539943348108	cc40c0daf4b51dbdb8db49d8bb96e2e0	IncHI1B,IncQ1	000138__CP021336_00001,000195__NC_013728_00014	-	-	-	-	-	-	non-mobilizable	CP015837	0.0217093	Escherichia coli	AA378	AI383	phylum	Pseudomonadota	phylum	Pseudomonadota	phylum	Pseudomonadota	2653965; 18606786; 25389419; 20851899
AusGEM_00007:AA174	8	101400	49.49211045364891	6a64dc9c3f88eabad561280f6b46bfd6	IncFII	KF954760	MOBF,MOBF	NC_017639_00103,CP023471_00010	MPF_T	NC_007607_00115	-	-	conjugative	KX683283	0.0424367	Escherichia coli	AA174	-	order	Enterobacterales	order	Enterobacterales	family	Enterobacteriaceae	20851899
AusGEM_00007:AC510	1	8988	46.995994659546064	47aaa5209a6c30a4f6aa3fadfd51d4d9	rep_cluster_2350,rep_cluster_2370	CP041342_00001,EU580135_00003	MOBP	NC_019076_00002	-	-	MOBP	CP019195	mobilizable	CP000972	0.000434439	Escherichia coli SMS-3-5	AC510	AL727	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00007:AA974	1	8226	52.990517870167764	c8b72f44d52636c9950daa8f039e3b94	Col156,rep_cluster_2131	CP019693_00001,CP010218_00004	MOBQ,MOBQ	NZ_AWFJ01000122_00007,NC_013719_00001	-	-	MOBQ,MOBQ	DQ318958,NZ_CP009103	mobilizable	CP019896	0.0339141	Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1677	AA974	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00007:AA179	4	16023	49.179304749422705	f93c2ce6d4fbbd711e1d8246ef3a67c7	-	-	-	-	-	-	-	-	non-mobilizable	CP032891	0.0595738	Escherichia coli	AA179	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_00007:AA162	1	4649	50.613035061303506	9d4c07a8a29efeaf42d70ec311f34f02	ColRNAI_rep_cluster_1857,rep_cluster_2350	GQ470395_00001,CP035723_00002	MOBP	NC_014003_00004	-	-	MOBP	NZ_CP011065	mobilizable	CP011433	0.000956583	Salmonella enterica subsp. enterica serovar Typhimurium	AA162	AH810	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00007:AB690	2	4487	40.71762870514821	317b18528c3dbe5a51cf28620b3629ac	Col(MG828)	NC_008486	-	-	-	-	-	-	non-mobilizable	CP005932	0.0309745	Escherichia coli APEC IMT5155	AB690	-	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AusGEM_00007:AB692	1	1981	44.37152953054013	5d32f0273afc7e6324ed83228483403a	Col(MG828)	NC_008486	-	-	-	-	MOBP	NC_018997	mobilizable	DQ995351	0.00993767	Escherichia coli	AB692	AK572	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AusGEM_00008:AA319	2	85247	53.008317008223166	5dd116128d863ab55e2db10bac76c65c	rep_cluster_2244	CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	KT325596	conjugative	KJ170699	0.0108269	Escherichia coli	AA319	AI205	family	Enterobacteriaceae	family	Enterobacteriaceae	family	Enterobacteriaceae	20851899; 30761100
AusGEM_00008:AA374	15	117722	46.46030478585141	a9c88ae318e905562067c75030079427	IncHI1B,IncHI1B	000138__CP021336_00001,JX182975	MOBH	CP030285_00102	-	-	-	-	mobilizable	CP033251	0.0220623	Escherichia coli	AA374	AI356	order	Enterobacterales	order	Enterobacterales	genus	Salmonella	18606786
AusGEM_00008:AA191	1	11914	40.05371831458788	30154e5c99ffc559772240432b40a72d	-	-	-	-	-	-	-	-	non-mobilizable	CP027120	0.0394988	Escherichia coli	AA191	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_00008:AA175	3	21502	43.24713980094875	276ae8315945e09941c17327d476a227	IncFIB	000095__NZ_CP014273_00094	-	-	-	-	-	-	non-mobilizable	CP011916	0.0547827	Escherichia coli	AA175	-	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_00009:AA474	1	61757	51.299447835872854	1912f755c8ffde38725bd887e2acbd48	-	-	MOBP	NC_019097	MPF_I	NC_019097_00085,NZ_CM001473_00069,NC_022267_00069,NC_019097_00075,NC_015965_00072,NC_023290_00086,NC_019111_00038,NC_022267_00057,NC_019097_00056	MOBP	JN253636	conjugative	KY748189	0.0171265	Escherichia coli	AA474	AI601	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00009:AA178	9	182554	49.586971526233334	0c820e137a1236c16c635af9fc7169f7	IncFIB,IncFIC,rep_cluster_2244,rep_cluster_2313	000096__NC_019117_00097,AP001918,CP033091_00053,CP025980_00001	MOBF,MOBP	NC_017627_00068,NC_021819_00066	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP015086	conjugative	CP005931	0.00224371	Escherichia coli APEC IMT5155	AA178	AH863	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_00009:AF267	2	56134	51.528485409911994	a7325c0c4c6b2cba08076dfc647d03e9	IncI-gamma/K1	MG764547	-	-	-	-	-	-	non-mobilizable	CP029060	0.0380652	Escherichia coli	AF267	-	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AusGEM_00009:AB440	1	8510	47.508813160987074	17334fbbea2e1ee982be7af8cdab6c27	rep_cluster_2350	CP041342_00001	MOBP	NC_022662_00003	-	-	MOBP	MF083142	mobilizable	CP016009	0.00060662	Escherichia coli	AB440	AK221	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
AusGEM_00010:AA738	11	310189	46.91494540425354	de0a018f75d0d64641d977e839bf4c01	IncFIA,IncHI2A,rep_cluster_1088,IncQ1	000136__AP014877_00014,BX664015,000340__KU353730,000195__NC_013728_00014	MOBF,MOBH	NC_017627_00068,NC_012555_00231	MPF_F	NC_005211_00030,NC_021845_00017,NC_009838_00006,NC_005211_00005,NC_005211_00012,NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200,NC_005211_00207,NC_005211_00200	MOBF,MOBH	CP010192,NZ_CP011605	conjugative	MF135534	0.0137986	Raoultella ornithinolytica	AA738	AJ049	phylum	Pseudomonadota	phylum	Pseudomonadota	phylum	Pseudomonadota	10773089; 25389419; 2653965; 19897651; 24247128; 20851899; 22511964
AusGEM_00010:AB002	1	88881	47.16081052193382	6ac0a29a48863ed379b09a026c20944c	rep_cluster_1704	001113__CP011430_00070	-	-	-	-	-	-	non-mobilizable	CP011430	0.0167251	Salmonella enterica subsp. enterica serovar Typhimurium	AB002	AJ521	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00010:AD158	2	33668	48.28323630747297	5332ac42b750c5c78e0afc5c15bc3d37	rep_cluster_1760	001178__CP006640_00046	MOBF	NC_020122_00018	MPF_T	NC_020122_00012,NC_020122_00011,NC_020122_00009,NC_020122_00006,NC_020122_00019	-	-	conjugative	CP006640	0.00181236	Escherichia coli PCN061	AD158	AM603	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	-
AusGEM_00010:AA979	1	6153	49.179262148545426	6a08a6d18cb027db60bc2e6a60725331	Col156,rep_cluster_2131	CP001126_00001,CP041341_00001	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	CP018986	0.00774383	Escherichia coli	AA979	AJ481	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00010:AA971	1	5518	41.80862631388184	0528f8c71476a266080c362cf54f37ca	rep_cluster_2378	CP043021_00001	MOBQ	NC_019062_00002	-	-	-	-	mobilizable	CP043022	0.00240836	Escherichia coli	AA971	AJ469	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_00010:AA163	1	3453	54.966695626991026	c3d59101a8a21f215a82a471d089bed9	-	-	MOBP	NC_014003_00004	-	-	MOBP	KY014464	mobilizable	CP039602	0.000680979	Salmonella enterica subsp. enterica	AA163	AH811	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00010:AA669	1	3105	45.249597423510465	189e2687d800a5edca6555abaf4bca3f	rep_cluster_2350	CP035723_00002	MOBF	CP019897	-	-	MOB_unknown	CP010224	mobilizable	CP041118	0.0230043	Escherichia coli	AA669	AI946	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
AusGEM_00010:AB686	1	2667	46.83164604424447	d1b71a4954ce9159d9e0533a06078966	Col(MG828)	NC_008486	-	-	-	-	MOBP	NC_002145	mobilizable	KX009021	0.0148187	Escherichia coli O25b:H4-ST131	AB686	AK565	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AusGEM_00011:AA279	2	110307	52.368390038710146	7d8aa623d164965e1e5b8e1d040a9beb	IncK2/Z	KC340959	MOBP	NC_013728_00087	MPF_I	NC_022992_00102,NC_022992_00098,NC_012487_00131,NC_022371_00084,NC_007365_00033,NC_011754_00109,NC_007365_00035,NC_014843_00047,NC_011754_00087	MOBP	AB290882	conjugative	CP040264	0.0162193	Escherichia coli	AA279	AI097	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	30761100
AusGEM_00011:AA176	19	150890	49.799191463980385	84d821791a2fd6220078f45a06742c32	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_019094_00068,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	MN053930	0.00433199	Escherichia coli	AA176	AH855	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_00011:AB686	1	1651	51.36281041792853	5b35062e19fe77acdf18b4c6683c1a05	Col(MG828)	NC_008486	-	-	-	-	MOBP	NC_002145	mobilizable	CP029109	0.000880953	Escherichia coli	AB686	AK565	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AusGEM_00012:AA279	5	122523	52.65705214531149	c700bbadef8e6fa4eab33b5674b82b0d	IncK2/Z	KC340959	MOBP	NC_013728_00087	MPF_I	NC_011754_00087,NC_014843_00047,NC_007365_00035,NC_011754_00109,NC_007365_00033,NC_022371_00084,NC_012487_00131,NC_022992_00098,NC_022992_00102	MOBP	AB290882	conjugative	AP019762	0.0143027	Escherichia coli O111:H-	AA279	AI097	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	30761100
AusGEM_00012:AA176	20	159348	49.24253834375079	dfd567f4d46736030322cb813f3c984a	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	MN053930	0.00351914	Escherichia coli	AA176	AH855	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_00012:AC411	4	7787	52.16386284833697	9b06090911763ea1618209205c2010ef	-	-	-	-	-	-	-	-	non-mobilizable	AB905284	0.052117	Escherichia coli	AC411	-	multi-phylla	Actinomycetota,Pseudomonadota	multi-phylla	Actinomycetota,Pseudomonadota	-	-	-
AusGEM_00014:AA279	2	108790	52.78977847228606	980430088a98c7861fbad43b16bd2366	IncK2/Z	KC340959	MOBP	NC_013728_00087	MPF_I	NC_022992_00102,NC_022992_00098,NC_012487_00131,NC_022371_00084,NC_007365_00033,NC_011754_00109,NC_007365_00035,NC_014843_00047,NC_011754_00087	MOBP	AB290882	conjugative	AP017613	0.0129677	Escherichia coli	AA279	AI097	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	30761100
AusGEM_00014:AA176	18	155957	49.45978699256847	a80c5555e1a455628c28ded6532ebcac	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	MN053930	0.0024636	Escherichia coli	AA176	AH855	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_00014:AC082	3	22678	56.230708175324104	83ffd7f54e5d4b7f2b74f1260211aa04	-	-	-	-	-	-	-	-	non-mobilizable	CP024094	0.0387085	Escherichia coli	AC082	-	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
